Image,ID,Name,Type,Material,Style,Substyle,Method,Aging,Origin,Stock,Want,Reference
,1000,Plymouth,Gin,Grains w/ juniper & botanicals,Plymouth gin,,Column Still,Unaged,UK,,7,"D+C: WH, D+C: Codex"
,1010,Beefeater,Gin,Grains w/ juniper & botanicals,London dry gin,,Column Still,Unaged,UK,0.1,1,"D+C: WH, D+C: Codex"
,1020,Tanqueray,Gin,Grains w/ juniper & botanicals,London dry gin,,Column Still,Unaged,UK,,8,"D+C: WH, D+C: Codex"
,1030,Fords,Gin,Grains w/ juniper & botanicals,London dry gin,,Column Still,Unaged,UK,,8,"D+C: WH, D+C: Codex"
,1035,Broker's Gin,Gin,Grains w/ juniper & botanicals,London dry gin,,Column Still,Unaged,UK,,8,D+C: WH
,1040,Bimini,Gin,Grains w/ juniper & botanicals,Modern gin,,Column Still,Unaged,USA,,7,D+C: WH
,1050,Tanqueray 10,Gin,Grains w/ juniper & botanicals,London dry gin,,Column Still,Unaged,UK,,6,D+C: WH
,1055,Perry’s Tot Navy Strength,Gin,Grains w/ juniper & botanicals,London dry gin,Overproof,Column Still,Unaged,UK,,6,D+C: WH
,1056,Old Raj 110-proof,Gin,Grains w/ juniper & botanicals,London dry gin,Overproof,Column Still,Unaged,UK,,6,D+C: WH
,1060,Monkey 47,Gin,Grains w/ juniper & botanicals,Modern gin,,Column Still,Unaged,Germany,,7,D+C: WH
,1065,Suntory Roku,Gin,Grains w/ juniper & botanicals,Modern gin,,Column Still,Unaged,Japan,,7,D+C: WH
,1070,St. George Dry Rye,Gin,Grains w/ juniper & botanicals,Modern gin,,Column Still,Unaged,USA,,6,"D+C: WH, D+C: Codex"
,1080,St. George Terroir,Gin,Grains w/ juniper & botanicals,Modern gin,,Column Still,Unaged,USA,,6,"D+C: WH, D+C: Codex"
,1090,Four Pillars Navy Strength,Gin,Grains w/ juniper & botanicals,Modern gin,,Column Still,Unaged,Australia,,8,D+C: WH
,1095,Greenhook Ginsmiths Old Tom,Gin,Grains w/ juniper & botanicals,Old Tom,,Column Still,Unaged,Australia,,8,D+C: WH
,1100,Siembra Valles Blanco,Agave,Blue agave,Tequila,Blanco,Pot Still,Unaged,Mexico,,8,D+C: WH
,1105,Siembra Valles Ancestral,Agave,Blue agave,Tequila,Blanco,Pot Still,Unaged,Mexico,,8,D+C: WH
,1110,Fortaleza Blanco,Agave,Blue agave,Tequila,Blanco,Pot Still,Unaged,Mexico,,8,D+C: WH
,1120,Cascahuin 48 Plata,Agave,Blue agave,Tequila,Blanco,Pot Still,Unaged,Mexico,,8,D+C: WH
,1125,Calle 23,Agave,Blue agave,Tequila,Blanco,Pot Still,Unaged,Mexico,,8,D+C: WH
