Spirit,Agave,Name,Sub1,Sub2
Ingredients,Acid,Champagne,,
Ingredients,Acid,Citric,,
Ingredients,Acid,Habanero,,
Ingredients,Acid,Lactic,,
Ingredients,Acid,Lime,,
Ingredients,Acid,Malic,,
Ingredients,Acid,Phosphate,,
Ingredients,Brine,Carrot,,
Ingredients,Brine,Cucumber,,
Ingredients,Brine,Japanese,,
Ingredients,Brine,Radish,,
Ingredients,Brine,Tomato,,
Ingredients,Cheese,Mascarpone,,
Ingredients,Chocolate,Dark,,
Ingredients,Cider,Apple,,
Ingredients,Cider,Pear,,
Ingredients,Coffee,Cold Brew,,
Ingredients,Coffee,Hot,,
Ingredients,Coffee,Bean,,
Ingredients,Cordial,Apple,,
Ingredients,Cordial,Citrus,,
Ingredients,Cordial,Grapefruit,,
Ingredients,Cordial,Lime,,
Ingredients,Cordial,Pineapple,,
Ingredients,Cordial,Tamarind,,
Ingredients,Cream,Coconut,,
Ingredients,Cream,Heavy,,
Ingredients,Cream,Sweet Vermouth,,
Ingredients,Cream,Sweet,,
Ingredients,Egg,Aquafaba,,
Ingredients,Egg,White,,
Ingredients,Egg,Yolk,,
Ingredients,Egg,Whole,,
Ingredients,Extract,Almond,,
Ingredients,Extract,Birch,,
Ingredients,Extract,Cola,,
Ingredients,Extract,Eucalyptus,,
Ingredients,Extract,Lemongrass,,
Ingredients,Extract,Root Beer,,
Ingredients,Extract,Vanilla,,
Ingredients,Flower,Edible,,
Ingredients,Flower,Orchid,,
Ingredients,Flower,Viola,,
Ingredients,Fruit,Apple,,
Ingredients,Fruit,Banana,,
Ingredients,Fruit,Blackberry,,
Ingredients,Fruit,Blueberry,,
Ingredients,Fruit,Cherry,,
Ingredients,Fruit,Coconut,,
Ingredients,Fruit,Cucumber,,
Ingredients,Fruit,Grapefruit,,
Ingredients,Fruit,Kiwi,,
Ingredients,Fruit,Lemon,,
Ingredients,Fruit,Lime,,
Ingredients,Fruit,Olive,,
Ingredients,Fruit,Orange,,
Ingredients,Fruit,Papaya,,
Ingredients,Fruit,Peach,,
Ingredients,Fruit,Pear,,
Ingredients,Fruit,Pineapple,,
Ingredients,Fruit,Raspberry,,
Ingredients,Fruit,Strawberry,,
Ingredients,Fruit,Umeboshi,,
Ingredients,Jelly,Pepper,,
Ingredients,Juice,Bell Pepper,,
Ingredients,Juice,Cantaloupe,,
Ingredients,Juice,Carrot,,
Ingredients,Juice,Celery,,
Ingredients,Juice,Cucumber,,
Ingredients,Juice,Grapefruit,,
Ingredients,Juice,Lemon,,
Ingredients,Juice,Lime,,
Ingredients,Juice,Orange,,
Ingredients,Juice,Pineapple,,
Ingredients,Juice,Tomato,,
Ingredients,Juice,Verjus,,
Ingredients,Juice,Yuzu,,
Ingredients,Leaf,Banana,,
Ingredients,Milk,Coconut,,
Ingredients,Milk,Condensed,,
Ingredients,Milk,Whole,,
Ingredients,Nut,Peanut,,
Ingredients,Nut,Pistachio,,
Ingredients,Oil,Olive,,
Ingredients,Purée,Guava,,
Ingredients,Purée,Kalamansi,,
Ingredients,Purée,Kiwi,,
Ingredients,Purée,Mango,,
Ingredients,Purée,Papaya,,
Ingredients,Purée,Passion Fruit,,
Ingredients,Shrub,Habanero,,
Ingredients,Shrub,Hibiscus,,
Ingredients,Soda,Club,,
Ingredients,Soda,Ginger,,
Ingredients,Soda,Ginger Beer,,
Ingredients,Soda,Grapefruit,,
Ingredients,Soda,Guava,,
Ingredients,Soda,Tonic,,
Ingredients,Spice,Allspice,,
Ingredients,Spice,Anise seed,,
Ingredients,Spice,Basil,,
Ingredients,Spice,Bay,,
Ingredients,Spice,Black Peppercorn,,
Ingredients,Spice,Cinnamon,,
Ingredients,Spice,Cloves,,
