Book,#,Name,Ingredient,Idx,Category,Type,Page,Stock,,
Smuggler's Cove,1,Aku Aku,(1-inch-square) Chunks Pineapple ,,Fruit (pineapple),,39,,,
Smuggler's Cove,2,Aku Aku,Mint Leaves,,Leaves (mint),,39,3,,
Smuggler's Cove,3,Aku Aku,Lime Juice,,Juice (lime),,39,3,,
Smuggler's Cove,4,Aku Aku,Demerara Syrup,,Syrup (demerara),,39,3,,
Smuggler's Cove,5,Aku Aku,Giffard Creme Peche De Vigne,,Liqueur (peach),,39,,,
Smuggler's Cove,6,Aku Aku,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,39,3,,
Smuggler's Cove,7,,,,,,,,,
Smuggler's Cove,8,Pupule,Lime Juice,,Juice (lime),,39,3,,
Smuggler's Cove,9,Pupule,Orange Juice,,Juice (orange),,39,3,,
Smuggler's Cove,10,Pupule,Cinnamon Syrup,,Syrup (cinnamon),,39,3,,
Smuggler's Cove,11,Pupule,Vanilla Syrup,,Syrup (vanilla),,39,2,,
Smuggler's Cove,12,Pupule,St. Elizabeth Allspice Dram,,Liqueur (allspice Dram),,39,3,,
Smuggler's Cove,13,Pupule,Column Still Aged Rum,R4,Rum (column Still Aged),,39,3,,
Smuggler's Cove,14,Pupule,Angostura Bitters,,Bitters (aromatic),,39,3,,
Smuggler's Cove,15,,,,,,,,,
Smuggler's Cove,16,Don's Own Grog,Lime Juice,,Juice (lime),,40,3,,
Smuggler's Cove,17,Don's Own Grog,Demerara Syrup,,Syrup (demerara),,40,3,,
Smuggler's Cove,18,Don's Own Grog,Grenadine,,Syrup (grenadine),,40,3,,
Smuggler's Cove,19,Don's Own Grog,Leopold Bros. Rocky Mountain Blackberry Liqueur,,Liqueur (blackberry),,40,,,
Smuggler's Cove,20,Don's Own Grog,Blended Aged Rum,R3,Rum (blended Aged),,40,3,,
Smuggler's Cove,21,Don's Own Grog,Blended Lightly Aged Rum,R2,Rum (blended Lightly Aged),,40,3,,
Smuggler's Cove,22,Don's Own Grog,Black Blended Rum,RR5,Rum (black Blended),,40,3,,
Smuggler's Cove,23,Don's Own Grog,Angostura Bitters,,Bitters (aromatic),,40,3,,
Smuggler's Cove,24,,,,,,,,,
Smuggler's Cove,25,Port Au Prince,Lime Juice,,Juice (lime),,40,3,,
Smuggler's Cove,26,Port Au Prince,Pineapple Juice,,Juice (pineapple),,40,3,,
Smuggler's Cove,27,Port Au Prince,Demerara Syrup,,Syrup (demerara),,40,3,,
Smuggler's Cove,28,Port Au Prince,Grenadine,,Syrup (grenadine),,40,3,,
